,Personal income,Compensation of employees,Wages and salaries,Private industries,Government,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds1,Employer contributions for government social insurance,Proprietors' income with inventory valuation and capital consumption adjustments,Farm,Nonfarm,Rental income of persons with capital consumption adjustment,Personal income receipts on assets,Personal interest income,Personal dividend income,Personal current transfer receipts,Government social benefits to persons,Social security2,Medicare3,Medicaid,Unemployment insurance,Veterans' benefits,Other,"Other current transfer receipts, from business (net)","Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,Personal consumption expenditures,Personal interest payments4,Personal current transfer payments,To government,To the rest of the world (net),Equals: Personal saving,Personal saving as a percentage of disposable personal income,Addenda:,"Personal income excluding current transfer receipts, billions of chained (2012) dollars5",Disposable personal income:,"Total, billions of chained (2012) dollars5",Per capita:,Current dollars,Chained (2012) dollars,"Population (midperiod, thousands)",Percent change from preceding period:,"Disposable personal income, current dollars","Disposable personal income, chained (2012) dollars"
,12682.0,7982.2,6422.5,5231.3,1191.3,1559.7,1088.9,470.8,1128.0,39.8,1088.2,442.6,1780.5,1226.0,554.4,2336.1,2292.0,693.6,515.7,405.6,131.0,58.9,487.3,44.1,987.4,1256.3,11425.7,10685.3,10300.8,239.8,144.7,79.3,65.4,740.5,6.5,,10808.5,,11936.6,,36840,38487,310148,,3.4,2.6
,12830.2,8041.0,6473.6,5282.5,1191.1,1567.4,1095.9,471.5,1142.7,46.0,1096.7,458.3,1827.5,1234.0,593.5,2350.1,2302.7,699.0,521.4,414.1,123.9,59.9,484.4,47.4,989.5,1289.1,11541.1,10813.9,10430.3,236.8,146.8,79.5,67.2,727.2,6.3,,10879.0,,11980.4,,37131,38545,310817,,4.1,1.5
,13175.9,8170.1,6577.3,5384.2,1193.1,1592.8,1102.0,490.8,1179.0,64.8,1114.2,489.1,1887.8,1251.6,636.1,2361.8,2313.0,703.1,527.6,418.8,116.7,61.6,485.2,48.8,911.8,1426.6,11749.3,10937.9,10558.2,232.0,147.7,80.4,67.2,811.4,6.9,,11132.1,,12094.8,,37734,38843,311376,,7.4,3.9
,13280.6,8206.4,6608.2,5409.0,1199.2,1598.2,1106.4,491.8,1210.2,59.2,1151.0,501.4,1915.4,1255.1,660.3,2361.6,2312.1,712.0,533.4,409.7,109.3,62.4,485.4,49.5,914.5,1445.9,11834.7,11054.1,10673.0,231.0,150.1,81.5,68.6,780.7,6.6,,11130.6,,12064.1,,37939,38674,311940,,2.9,-1.0
,13413.8,8287.3,6681.6,5484.0,1197.6,1605.7,1109.5,496.2,1251.6,64.6,1187.1,510.1,1935.6,1238.7,696.8,2352.1,2303.2,716.0,538.5,396.4,102.9,64.6,484.8,48.9,922.9,1471.4,11942.3,11135.2,10755.0,228.8,151.4,82.7,68.7,807.1,6.8,,11224.2,,12117.7,,38203,38764,312606,,3.7,1.8
,13486.9,8240.9,6637.6,5448.1,1189.5,1603.3,1111.1,492.2,1268.9,63.6,1205.3,525.6,2009.8,1277.0,732.8,2359.3,2312.2,721.8,542.9,399.3,99.8,64.5,484.0,47.0,917.4,1470.9,12016.0,11191.2,10809.2,228.0,154.0,84.1,69.9,824.8,6.9,,11253.9,,12152.3,,38358,38793,313258,,2.5,1.1
,13786.3,8456.4,6836.3,5637.6,1198.7,1620.1,1112.1,508.0,1321.8,59.9,1261.9,526.7,2081.4,1326.0,755.4,2340.4,2296.8,753.2,547.0,400.6,94.6,67.2,434.2,43.5,940.3,1468.3,12317.9,11342.4,10959.3,228.4,154.7,85.2,69.5,975.5,7.9,,11499.6,,12375.7,,39252,39436,313813,,10.4,7.6
,13945.9,8503.8,6876.0,5680.2,1195.8,1627.8,1117.8,510.0,1355.6,58.1,1297.5,532.4,2136.0,1349.5,786.5,2362.8,2321.8,759.4,551.6,421.7,86.3,69.0,433.9,41.0,944.7,1487.7,12458.2,11390.1,11005.1,229.2,155.8,86.3,69.5,1068.1,8.6,,11609.3,,12486.5,,39629,39719,314373,,4.6,3.6
,13922.7,8546.1,6906.1,5709.2,1196.8,1640.0,1128.8,511.2,1344.9,59.4,1285.5,536.1,2078.6,1282.0,796.6,2364.7,2325.6,765.1,557.1,419.0,78.4,71.3,434.6,39.1,947.6,1510.0,12412.6,11441.9,11059.4,230.5,152.1,86.9,65.2,970.7,7.8,,11550.6,,12404.8,,39401,39376,315030,,-1.5,-2.6
,14402.6,8763.2,7094.2,5892.2,1202.0,1669.0,1145.1,523.9,1363.2,62.4,1300.8,542.8,2318.7,1316.7,1002.0,2384.2,2346.1,770.8,563.4,428.9,75.1,72.9,435.0,38.1,969.4,1572.0,12830.5,11552.6,11165.7,230.3,156.6,86.8,69.7,1278.0,10.0,,11943.8,,12750.9,,40643,40391,315685,,14.2,11.6
,14019.5,8732.6,7043.9,5837.5,1206.4,1688.7,1168.4,520.4,1387.2,93.0,1294.2,560.8,2026.1,1269.0,757.1,2403.5,2365.7,790.0,570.3,424.8,69.0,76.5,435.2,37.8,1090.6,1650.0,12369.5,11651.9,11265.6,230.1,156.2,86.6,69.6,717.6,5.8,,11502.5,,12248.6,,39120,38737,316196,,-13.6,-14.8
,14153.0,8819.6,7103.0,5896.2,1206.8,1716.6,1190.7,525.9,1410.6,94.1,1316.5,573.1,2036.5,1256.4,780.1,2416.2,2378.3,795.2,567.1,438.4,64.8,78.4,434.3,37.9,1103.1,1682.5,12470.5,11678.0,11291.0,229.2,157.9,86.8,71.1,792.5,6.4,,11613.8,,12339.8,,39372,38960,316733,,3.3,3.0
,14244.1,8845.6,7112.9,5908.0,1204.8,1732.7,1205.9,526.8,1411.0,92.8,1318.2,585.1,2074.2,1264.5,809.7,2434.5,2396.0,802.3,573.7,448.2,59.1,80.5,432.2,38.5,1106.3,1674.9,12569.2,11766.6,11379.2,229.2,158.2,87.5,70.6,802.6,6.4,,11638.6,,12387.2,,39601,39028,317396,,3.2,1.5
,14358.0,8942.5,7196.3,5982.3,1214.0,1746.2,1214.0,532.1,1400.0,67.9,1332.0,590.7,2099.0,1272.6,826.4,2443.2,2403.7,808.6,580.2,448.6,57.1,80.9,428.2,39.5,1117.2,1698.1,12659.9,11908.6,11518.4,229.6,160.7,88.9,71.9,751.3,5.9,,11693.4,,12424.6,,39802,39062,318072,,2.9,1.2
,14625.1,9114.2,7358.6,6136.8,1221.9,1755.6,1216.1,539.5,1411.4,66.3,1345.1,598.1,2167.0,1292.5,874.5,2474.1,2433.2,824.8,587.5,459.5,39.0,81.4,441.0,40.9,1139.8,1744.8,12880.3,12019.9,11618.1,236.7,165.1,90.9,74.2,860.4,6.7,,11868.1,,12580.4,,40422,39481,318645,,7.1,5.1
,14874.6,9172.4,7409.4,6178.8,1230.6,1763.1,1221.3,541.8,1450.6,77.0,1373.6,602.6,2266.7,1322.2,944.5,2526.8,2484.5,831.7,595.6,481.5,35.8,83.3,456.7,42.2,1144.5,1758.4,13116.2,12192.4,11784.7,239.8,167.9,92.6,75.3,923.8,7.0,,12000.3,,12747.1,,41087,39931,319228,,7.5,5.4
,15099.5,9280.6,7503.0,6261.6,1241.5,1777.6,1229.9,547.7,1466.2,63.9,1402.2,604.6,2336.0,1351.1,984.9,2568.2,2524.6,836.5,604.0,507.2,34.0,85.0,457.9,43.6,1156.1,1798.6,13300.9,12350.2,11934.3,244.4,171.5,94.2,77.2,950.7,7.1,,12144.2,,12890.1,,41576,40292,319919,,5.8,4.6
,15307.1,9433.5,7634.3,6380.6,1253.7,1799.2,1242.5,556.7,1454.4,63.7,1390.7,605.5,2390.4,1381.5,1008.9,2597.1,2552.1,845.6,612.8,515.3,33.0,87.0,458.4,45.0,1173.8,1836.5,13470.6,12481.9,12053.8,254.1,174.0,95.7,78.3,988.7,7.3,,12331.6,,13069.5,,42015,40764,320611,,5.2,5.7
,15497.7,9563.8,7746.2,6483.0,1263.2,1817.7,1256.2,561.5,1434.9,54.5,1380.4,596.2,2447.6,1401.3,1046.3,2644.1,2597.7,861.8,622.4,523.6,32.9,90.2,466.8,46.4,1188.9,1904.6,13593.2,12518.3,12083.9,253.9,180.5,99.4,81.0,1074.9,7.9,,12522.9,,13243.4,,42324,41235,321168,,3.7,5.4
,15639.9,9666.2,7830.8,6557.8,1273.0,1835.4,1267.9,567.5,1411.3,54.5,1356.8,611.3,2469.7,1447.5,1022.2,2682.3,2633.9,868.5,631.5,537.9,32.4,92.5,471.2,48.5,1200.9,1943.0,13696.9,12669.2,12224.7,261.3,183.2,100.7,82.5,1027.7,7.5,,12563.2,,13280.1,,42571,41275,321744,,3.1,1.1
,15757.0,9751.7,7903.0,6622.8,1280.2,1848.7,1276.3,572.4,1423.2,55.8,1367.4,614.9,2478.9,1454.7,1024.2,2699.1,2647.8,873.9,639.5,540.4,32.5,93.6,467.9,51.3,1210.9,1947.3,13809.6,12799.7,12347.8,266.9,185.0,101.6,83.5,1009.9,7.3,,12629.8,,13357.0,,42830,41426,322428,,3.3,2.3
,15846.4,9816.0,7958.0,6671.3,1286.7,1858.0,1281.9,576.1,1413.8,51.6,1362.3,615.6,2503.2,1463.7,1039.5,2716.1,2661.2,882.9,646.4,541.8,32.4,94.0,463.8,54.8,1218.3,1964.9,13881.4,12854.5,12397.5,271.9,185.1,101.9,83.2,1027.0,7.4,,12712.6,,13439.8,,42962,41595,323110,,2.1,2.5
,15918.6,9851.7,7992.7,6698.3,1294.4,1858.9,1284.4,574.5,1410.1,38.0,1372.1,619.8,2517.0,1465.6,1051.4,2745.4,2686.2,886.1,652.4,550.5,32.4,93.8,471.0,59.2,1225.3,1924.6,13994.0,12947.8,12495.1,266.9,185.9,103.0,82.9,1046.2,7.5,,12747.4,,13541.6,,43233,41835,323689,,3.3,3.1
,16002.1,9905.2,8039.2,6736.7,1302.6,1866.0,1288.7,577.3,1409.6,37.6,1372.0,626.7,2524.3,1456.6,1067.7,2767.7,2706.5,893.2,658.6,558.8,32.3,94.8,468.7,61.2,1231.4,1943.4,14058.7,13089.1,12637.4,271.3,180.4,103.1,77.4,969.6,6.9,,12726.7,,13519.5,,43356,41693,324265,,1.9,-0.7
,16151.6,9998.5,8119.3,6805.2,1314.1,1879.2,1296.5,582.7,1431.0,33.7,1397.4,627.6,2549.9,1463.1,1086.8,2787.1,2726.3,899.4,665.2,566.5,32.1,97.3,465.9,60.7,1242.5,1972.0,14179.6,13218.4,12759.1,275.0,184.4,103.4,80.9,961.2,6.8,,12803.9,,13584.8,,43640,41809,324926,,3.5,1.9
,16315.3,10109.1,8213.7,6892.7,1321.0,1895.3,1306.1,589.2,1442.5,27.1,1415.4,632.5,2579.4,1475.5,1103.9,2807.9,2750.1,907.2,672.2,575.3,31.3,101.2,462.9,57.8,1256.0,1992.9,14322.4,13348.0,12881.6,278.0,188.5,104.0,84.5,974.3,6.8,,12879.8,,13656.9,,43993,41949,325557,,4.1,2.1
,16551.9,10224.3,8311.0,6979.5,1331.5,1913.3,1318.5,594.8,1485.0,44.0,1441.0,643.0,2645.5,1533.0,1112.5,2831.4,2779.1,916.3,678.5,572.4,31.3,105.8,474.7,52.4,1277.2,2004.1,14547.9,13517.5,13049.4,280.5,187.6,105.4,82.3,1030.3,7.1,,13006.1,,13790.4,,44618,42295,326053,,6.4,4.0
,16740.6,10335.9,8402.1,7061.8,1340.3,1933.8,1333.4,600.4,1501.4,42.0,1459.3,643.3,2711.5,1547.1,1164.4,2838.2,2789.7,922.0,687.4,567.9,29.6,110.4,472.4,48.5,1289.7,2012.0,14728.6,13614.6,13134.0,287.0,193.6,106.1,87.5,1114.0,7.6,,13146.0,,13927.2,,45103,42649,326554,,5.1,4.0
,16921.4,10478.4,8518.3,7165.0,1353.3,1960.1,1352.8,607.3,1502.6,35.0,1467.7,652.3,2723.3,1554.5,1168.8,2869.8,2823.4,929.3,696.3,578.8,29.6,113.7,475.8,46.3,1304.9,2054.8,14866.6,13747.6,13260.3,292.9,194.3,107.1,87.2,1119.0,7.5,,13239.0,,14006.8,,45444,42816,327140,,3.8,2.3
,17145.4,10658.9,8666.3,7298.6,1367.7,1992.7,1376.5,616.2,1529.4,35.3,1494.1,663.8,2733.8,1561.2,1172.6,2883.4,2837.6,936.7,705.1,575.8,30.3,115.7,474.0,45.8,1323.9,2123.6,15021.8,13990.1,13490.7,301.1,198.3,108.5,89.8,1031.7,6.9,,13352.2,,14063.6,,45841,42917,327692,,4.2,1.6
,17355.0,10783.2,8762.6,7380.8,1381.8,2020.7,1403.8,616.9,1550.1,27.2,1523.0,668.6,2758.1,1578.4,1179.7,2938.7,2891.7,960.8,714.3,581.9,29.7,117.0,487.9,47.0,1343.8,2072.8,15282.2,14185.1,13677.3,308.7,199.0,110.7,88.3,1097.1,7.2,,13400.0,,14204.8,,46579,43295,328091,,7.1,4.1
,17550.7,10891.0,8843.1,7448.3,1394.8,2047.9,1427.0,620.9,1557.3,29.3,1528.0,674.5,2816.3,1600.9,1215.4,2965.2,2916.6,968.3,725.6,592.6,27.0,118.5,484.6,48.7,1353.6,2057.7,15493.0,14368.7,13850.8,315.2,202.7,112.3,90.4,1124.3,7.3,,13484.8,,14323.8,,47159,43600,328526,,5.6,3.4
,17800.6,11042.9,8969.5,7557.7,1411.8,2073.5,1444.7,628.8,1571.3,21.1,1550.2,688.2,2878.4,1612.6,1265.8,2990.1,2939.2,976.6,739.2,595.0,26.5,120.5,481.3,50.9,1370.3,2086.0,15714.5,14521.2,13988.8,327.4,205.0,113.9,91.2,1193.3,7.6,,13644.1,,14476.9,,47759,43997,329040,,5.8,4.3
,18028.9,11114.5,9025.0,7605.5,1419.5,2089.5,1456.9,632.6,1596.1,39.1,1557.0,688.6,2996.1,1643.5,1352.6,3012.4,2958.7,983.9,755.3,589.5,27.8,122.9,479.3,53.7,1378.7,2083.1,15945.8,14639.3,14102.9,329.4,207.0,115.5,91.5,1306.5,8.2,,13781.8,,14634.7,,48391,44412,329522,,6.0,4.4
,18345.4,11329.6,9222.0,7797.6,1424.4,2107.6,1463.3,644.3,1583.4,25.1,1558.3,689.6,3047.7,1647.3,1400.4,3105.7,3048.6,1019.2,772.6,598.7,29.4,125.7,503.1,57.1,1410.6,2160.2,16185.2,14679.9,14145.9,328.5,205.5,116.8,88.7,1505.3,9.3,,13957.5,,14823.4,,49066,44937,329868,,6.1,5.3
,18504.9,11389.4,9272.7,7836.7,1436.0,2116.7,1469.2,647.5,1575.2,15.6,1559.6,696.1,3121.8,1664.0,1457.8,3140.3,3082.7,1026.6,785.8,614.4,26.9,129.0,500.1,57.6,1418.0,2221.6,16283.3,14872.7,14323.7,337.2,211.8,117.4,94.4,1410.6,8.7,,13986.3,,14822.6,,49307,44884,330245,,2.4,0.0
,18655.5,11455.2,9328.7,7869.4,1459.2,2126.5,1475.7,650.8,1615.3,37.3,1578.0,699.1,3148.6,1655.5,1493.1,3162.7,3107.3,1034.4,793.7,622.4,26.4,132.5,498.0,55.4,1425.4,2195.8,16459.6,15037.8,14482.2,346.8,208.8,117.0,91.8,1421.8,8.6,,14066.4,,14944.2,,49768,45186,330729,,4.4,3.3
,18842.3,11618.2,9475.0,7992.8,1482.2,2143.3,1483.1,660.1,1631.9,38.7,1593.2,708.0,3158.0,1665.8,1492.2,3170.5,3120.1,1042.8,796.3,620.7,27.7,136.5,496.2,50.4,1444.4,2216.0,16626.3,15177.4,14619.0,345.6,212.8,115.5,97.2,1448.9,8.7,,14178.0,,15041.5,,50199,45414,331208,,4.1,2.6
,19033.7,11781.8,9624.7,8111.4,1513.3,2157.1,1489.5,667.6,1643.2,38.2,1605.0,722.6,3144.3,1660.2,1484.1,3212.4,3169.8,1068.2,795.3,606.6,40.7,140.6,518.4,42.6,1470.6,2249.1,16784.6,14983.4,14440.2,337.4,205.8,110.0,95.8,1801.2,10.7,,14261.7,,15130.1,,50627,45636,331534,,3.9,2.4
,20479.4,11053.4,8995.7,7529.8,1466.0,2057.7,1420.6,637.1,1475.6,25.3,1450.3,717.9,3076.3,1638.6,1437.7,5556.4,5512.0,1074.9,808.0,654.7,1007.5,144.2,1822.6,44.4,1400.3,2098.2,18381.2,13529.1,13049.8,273.0,206.3,108.0,98.3,4852.1,26.4,,13513.4,,16645.0,,55415,50181,331699,,43.8,46.5
,20019.2,11563.4,9425.4,7926.3,1499.1,2138.0,1478.9,659.1,1751.6,42.5,1709.2,722.6,3043.8,1643.2,1400.6,4385.7,4344.3,1080.3,822.1,690.7,792.9,147.3,811.0,41.4,1447.8,2237.5,17781.7,14857.8,14388.7,272.5,196.6,107.0,89.6,2923.9,16.4,,14040.4,,15969.6,,53580,48120,331872,,-12.4,-15.3
,19796.9,11972.4,9783.7,8284.1,1499.6,2188.7,1516.0,672.7,1702.0,74.7,1627.3,716.3,3117.4,1647.2,1470.1,3770.2,3722.2,1088.2,837.5,678.3,308.5,149.8,659.8,48.0,1481.3,2360.7,17436.2,15044.1,14586.0,254.0,204.0,107.3,96.8,2392.1,13.7,,14335.3,,15596.0,,52512,46970,332045,,-7.5,-9.0
,22095.5,12058.5,9851.2,8340.8,1510.4,2207.3,1532.7,674.6,1655.0,26.4,1628.6,719.4,3132.0,1655.7,1476.3,6022.3,5962.9,1105.7,857.6,704.4,556.2,151.8,2587.1,59.5,1491.6,2509.0,19586.5,15597.8,15131.5,258.3,208.1,108.3,99.8,3988.7,20.4,,14219.9,,17328.1,,58998,52195,331989,,59.2,52.4
,20916.4,12369.8,10138.5,8609.3,1529.3,2231.3,1542.4,688.9,1776.9,71.2,1705.7,713.5,3196.3,1665.4,1530.9,4381.6,4305.7,1109.4,875.4,744.8,448.6,153.3,974.2,76.0,1521.7,2638.5,18277.8,16299.3,15813.5,275.5,210.2,109.6,100.6,1978.6,10.8,,14401.8,,15920.1,,55029,47931,332149,,-24.2,-28.8
,21005.2,12681.3,10422.3,8858.2,1564.2,2259.0,1554.6,704.4,1792.7,63.8,1728.9,722.7,3222.9,1655.7,1567.3,4139.6,4064.4,1116.8,889.5,748.2,245.1,155.1,909.6,75.2,1554.0,2693.2,18312.0,16643.0,16147.3,281.1,214.5,111.0,103.6,1669.1,9.1,,14491.6,,15734.4,,55077,47324,332480,,0.8,-4.6
,21162.1,13044.4,10748.4,9175.7,1572.7,2296.0,1571.3,724.6,1789.8,43.9,1745.9,739.6,3258.5,1657.5,1601.0,3925.7,3852.5,1126.5,900.0,745.0,33.8,156.4,890.9,73.2,1595.8,2806.1,18356.1,17019.0,16518.0,282.8,218.2,112.4,105.8,1337.1,7.3,,14589.6,,15537.3,,55159,46689,332786,,1.0,-4.9
,21319.8,13259.7,10925.5,9337.8,1587.8,2334.2,1589.6,744.6,1811.4,74.4,1737.0,744.9,3269.9,1670.8,1599.1,3868.7,3797.7,1198.7,908.0,763.1,23.6,157.7,746.6,71.1,1634.7,3145.5,18174.4,17389.5,16874.8,293.5,221.3,114.1,107.2,784.9,4.3,,14507.5,,15108.8,,54581,45375,332978,,-3.9,-10.6
,21578.3,13415.2,11058.0,9457.7,1600.4,2357.1,1603.6,753.6,1835.4,95.7,1739.7,775.9,3323.0,1708.6,1614.4,3883.2,3809.1,1206.9,911.8,789.5,18.6,159.7,722.7,74.1,1654.4,3188.5,18389.8,17798.7,17261.3,313.1,224.2,115.4,108.8,591.1,3.2,,14453.7,,15021.2,,55171,45065,333321,,4.8,-2.3
,21969.5,13755.0,11361.0,9737.3,1623.8,2394.0,1620.0,774.0,1863.5,95.9,1767.6,794.9,3358.8,1738.1,1620.7,3892.8,3823.0,1214.6,920.3,786.1,18.5,161.7,721.7,69.8,1695.6,3236.5,18733.0,18124.5,17542.7,357.1,224.7,116.4,108.3,608.5,3.2,,14610.2,,15140.6,,56121,45359,333799,,7.7,3.2
,22241.3,13828.1,11413.9,9770.7,1643.3,2414.2,1636.8,777.4,1882.9,100.9,1782.0,811.8,3424.0,1789.0,1635.0,3998.2,3928.7,1225.6,941.6,796.2,20.4,164.0,780.8,69.5,1703.7,3216.2,19025.1,18377.2,17749.9,402.6,224.7,117.0,107.6,647.9,3.4,,14609.8,,15236.1,,56913,45579,334282,,6.4,2.5
,22519.2,13985.5,11545.6,9877.9,1667.6,2440.0,1652.1,787.8,1909.5,96.7,1812.8,845.0,3452.6,1808.1,1644.5,4057.5,3986.2,1340.1,960.5,839.4,22.8,166.2,657.3,71.3,1730.8,2906.2,19613.1,18772.2,18113.1,435.5,223.7,117.8,105.9,840.9,4.3,,14636.8,,15549.6,,58609,46466,334641,,12.9,8.5
,22751.3,14163.3,11698.0,10005.8,1692.3,2465.3,1668.1,797.2,1908.7,85.2,1823.6,863.7,3486.3,1826.1,1660.2,4079.0,4006.8,1354.0,967.3,878.5,23.1,167.0,616.9,72.2,1749.8,2853.8,19897.5,19005.3,18301.6,479.8,223.9,118.5,105.3,892.3,4.5,,14712.0,,15677.3,,59392,46795,335019,,5.9,3.3
